################################################################################
# Voter Autrement 2017
################################################################################
#
# This dataset Voter Autrement is made available under the Open Database
# License: http://opendatacommons.org/licenses/odbl/1.0/. Any rights in
# individual contents of the database are licensed under the Database
# Contents License: http://opendatacommons.org/licenses/dbcl/1.0/
#
# Antoinette Baujard, GATE Lyon Saint-Étienne, Université Jean Monnet, Saint-Étienne
# Renaud Blanch, LIG, Univ. Grenoble-Alpes
# Sylvain Bouveret, LIG, Univ. Grenoble-Alpes
# François Durand, LAMSADE, Université Paris-Dauphine
# Herrade Igersheim, CNRS, BETA, Université de Strasbourg
# Jérôme Lang, LAMSADE CNRS, Université Paris-Dauphine
# Annick Laruelle, UPV-EHU, Universidad del País Vasco
# Jean-François Laslier, CNRS, Paris School of Economics
# Isabelle Lebon, CREM, Universités Caen-Normandie et Rennes 1
# Vincent Merlin, CNRS, CREM, Universités Caen-Normandie et Rennes 1
#
################################################################################
#
# Dataset: Online experiment approval voting.
# Format: CSV with header
#
# Participants were asked to tick the candidates they approve. Meaning of the scores:
# 0 = not approved / 1 = approved
#
# * Column 1: Voter number
# * Column 2: score of Nathalie Arthaud
# * Column 3: score of François Asselineau
# * Column 4: score of Jacques Cheminade
# * Column 5: score of Nicolas Dupont-Aignan
# * Column 6: score of François Fillon
# * Column 7: score of Benoît Hamon
# * Column 8: score of Jean Lassalle
# * Column 9: score of Marine Le Pen
# * Column 10: score of Emmanuel Macron
# * Column 11: score of Jean-Luc Mélenchon
# * Column 12: score of Philippe Poutou
# * Column 13: vote at the first round of the official election (extracted from the questionnaire)
#
################################################################################
Voter,Nathalie Arthaud,François Asselineau,Jacques Cheminade,Nicolas Dupont-Aignan,François Fillon,Benoît Hamon,Jean Lassalle,Marine Le Pen,Emmanuel Macron,Jean-Luc Mélenchon,Philippe Poutou,official vote
Voter 29484,0,0,0,0,0,1,0,0,1,0,0,Emmanuel Macron
Voter 27790,0,0,0,0,0,0,0,0,0,0,0,Emmanuel Macron
Voter 28871,0,0,0,0,0,1,0,0,1,1,0,Benoît Hamon
Voter 29483,0,0,0,0,0,1,0,0,1,1,0,Emmanuel Macron
Voter 29174,0,0,0,0,1,0,0,0,1,0,0,François Fillon
Voter 28449,0,0,0,0,0,1,0,0,1,1,0,Emmanuel Macron
Voter 28037,0,0,0,0,1,0,0,1,0,0,0,François Fillon
Voter 29489,0,0,0,0,0,1,0,0,1,1,0,Benoît Hamon
Voter 29487,0,0,0,0,0,1,0,0,1,0,0,Emmanuel Macron
Voter 28712,0,0,0,0,1,0,0,1,0,1,0,Marine Le Pen
Voter 27774,0,0,0,0,0,1,0,0,1,0,0,Emmanuel Macron
Voter 29478,0,0,0,0,0,1,0,0,0,1,0,Benoît Hamon
Voter 29157,0,0,0,0,0,1,0,0,0,1,0,Benoît Hamon
Voter 28629,0,0,0,0,0,1,0,0,0,1,1,Jean-Luc Mélenchon
Voter 28912,0,0,0,0,0,0,0,0,1,0,0,Emmanuel Macron
Voter 29473,0,0,0,0,0,1,0,0,1,0,0,Benoît Hamon
Voter 32783,0,0,0,0,0,1,0,0,1,0,0,Emmanuel Macron
Voter 28498,0,0,0,0,1,0,0,0,0,0,0,François Fillon
Voter 28079,1,0,0,0,0,1,0,0,0,1,1,Jean-Luc Mélenchon
Voter 28423,0,0,0,0,0,1,0,0,0,1,0,Jean-Luc Mélenchon
Voter 28312,0,0,0,0,0,0,0,0,1,0,0,Emmanuel Macron
Voter 35065,0,0,0,0,0,1,0,0,0,1,0,Jean-Luc Mélenchon
Voter 29488,0,0,0,0,1,0,0,0,1,0,0,François Fillon
Voter 28065,0,0,0,0,0,1,0,0,0,1,0,Jean-Luc Mélenchon
Voter 34457,0,0,0,0,1,0,0,0,1,0,0,François Fillon
Voter 28571,0,0,0,0,0,0,0,0,1,0,0,blanc
Voter 27951,0,0,0,1,0,0,0,0,1,1,0,Nicolas Dupont-Aignan
Voter 28384,0,0,0,0,1,0,0,0,1,0,0,François Fillon
Voter 29471,0,0,0,0,0,1,0,0,0,1,1,Jean-Luc Mélenchon
Voter 29107,0,0,0,0,0,1,0,0,0,1,1,Jean-Luc Mélenchon
Voter 28846,0,0,0,0,0,1,0,0,1,1,0,Emmanuel Macron
Voter 27880,0,0,0,0,1,0,1,0,1,0,0,François Fillon
Voter 28660,1,0,0,0,0,0,1,0,0,1,1,Jean-Luc Mélenchon
Voter 29480,0,0,0,0,0,1,0,0,0,0,0,Benoît Hamon
Voter 28293,0,0,0,0,0,1,0,0,1,1,0,Emmanuel Macron
Voter 27822,0,0,0,0,0,0,0,0,1,0,0,Emmanuel Macron
Voter 27895,0,0,0,0,0,1,0,0,0,1,1,Jean-Luc Mélenchon
Voter 31142,0,0,0,0,0,1,0,0,0,1,1,Benoît Hamon
Voter 27975,0,0,0,0,0,0,0,0,0,1,1,Jean-Luc Mélenchon
Voter 34810,0,0,0,0,0,1,0,0,0,1,1,Jean-Luc Mélenchon
Voter 29476,0,0,0,0,0,1,0,0,1,0,0,Emmanuel Macron
Voter 29475,1,0,0,1,0,1,0,0,0,1,0,Marine Le Pen
Voter 28952,0,0,0,0,0,1,0,0,0,1,0,Benoît Hamon
Voter 29485,0,0,0,0,0,1,0,0,0,1,0,Jean-Luc Mélenchon
Voter 28305,0,0,0,0,1,0,0,0,1,0,0,Emmanuel Macron
Voter 28725,0,0,0,0,0,1,0,0,0,1,1,incertitude
Voter 28760,0,0,0,0,0,1,0,0,1,0,0,Emmanuel Macron
Voter 2644,0,0,0,0,0,1,0,0,1,1,0,Emmanuel Macron
Voter 17285,0,1,1,0,0,1,1,0,0,1,1,non inscrit
Voter 12349,0,0,0,0,0,0,0,0,0,0,0,Jean-Luc Mélenchon
Voter 27773,0,0,0,0,0,0,0,0,1,0,0,abstention
Voter 97,0,0,0,0,0,1,0,0,1,1,0,Emmanuel Macron
Voter 27135,0,0,0,0,0,1,0,0,1,0,0,Benoît Hamon
Voter 2482,0,0,0,0,1,0,0,0,1,0,0,François Fillon
Voter 2210,0,0,0,0,0,1,0,0,1,0,0,Benoît Hamon
Voter 21573,0,1,0,1,0,0,0,1,0,0,0,Marine Le Pen
Voter 11039,0,0,0,0,0,1,0,0,1,0,0,Benoît Hamon
Voter 2574,1,0,0,0,0,0,0,0,0,1,1,Jean-Luc Mélenchon
Voter 17657,0,0,0,0,0,0,1,0,1,0,0,ne se prononce pas
Voter 8972,0,0,0,0,0,0,0,0,1,0,0,Emmanuel Macron
Voter 16006,0,0,0,0,0,1,0,0,1,1,1,Emmanuel Macron
Voter 26754,0,0,0,0,0,1,0,0,1,0,0,Emmanuel Macron
Voter 15636,0,0,0,0,0,1,0,0,1,0,0,Emmanuel Macron
Voter 2718,0,0,0,0,1,0,0,0,1,0,0,Emmanuel Macron
Voter 25779,0,0,0,0,1,1,1,0,1,0,0,Emmanuel Macron
Voter 2588,1,0,0,0,0,1,1,0,1,1,1,Benoît Hamon
Voter 27205,0,0,0,0,0,0,0,0,1,0,0,Emmanuel Macron
Voter 10998,0,0,0,0,0,1,0,0,1,1,0,Emmanuel Macron
Voter 665,0,0,0,0,0,1,0,0,1,1,0,Jean-Luc Mélenchon
Voter 15688,0,0,0,0,0,1,0,0,0,1,1,Benoît Hamon
Voter 9099,1,0,0,0,0,1,0,0,0,1,1,Jean-Luc Mélenchon
Voter 26090,0,0,0,0,0,1,0,0,0,1,0,Jean-Luc Mélenchon
Voter 18790,0,0,0,0,0,1,1,0,1,0,0,Emmanuel Macron
Voter 4789,1,0,0,0,0,1,0,0,0,1,1,
Voter 32032,0,0,0,0,0,1,0,0,1,0,1,Emmanuel Macron
Voter 11624,0,1,0,1,1,0,0,0,1,0,0,blanc
Voter 6246,0,0,0,0,1,0,0,0,1,0,0,incertitude
Voter 13859,0,0,0,0,0,0,0,0,0,1,0,Jean-Luc Mélenchon
Voter 18521,0,0,0,0,0,1,0,0,0,1,1,non inscrit
Voter 15815,0,0,0,0,0,1,0,0,1,1,0,Jean-Luc Mélenchon
Voter 12609,0,0,0,0,0,1,0,0,0,0,0,Benoît Hamon
Voter 18524,0,0,0,0,0,1,0,0,0,1,0,Benoît Hamon
Voter 13601,0,0,0,0,1,0,0,0,0,0,0,François Fillon
Voter 10758,1,0,0,0,0,1,1,0,1,1,1,Jean-Luc Mélenchon
Voter 13968,0,0,0,0,1,0,0,0,1,0,1,François Fillon
Voter 1517,0,0,0,0,0,1,0,0,0,1,0,Benoît Hamon
Voter 1365,1,0,0,0,0,1,0,0,0,1,1,abstention
