################################################################################
# Voter Autrement 2017
################################################################################
#
# This dataset Voter Autrement is made available under the Open Database
# License: http://opendatacommons.org/licenses/odbl/1.0/. Any rights in
# individual contents of the database are licensed under the Database
# Contents License: http://opendatacommons.org/licenses/dbcl/1.0/
#
# Antoinette Baujard, GATE Lyon Saint-Étienne, Université Jean Monnet, Saint-Étienne
# Renaud Blanch, LIG, Univ. Grenoble-Alpes
# Sylvain Bouveret, LIG, Univ. Grenoble-Alpes
# François Durand, LAMSADE, Université Paris-Dauphine
# Herrade Igersheim, CNRS, BETA, Université de Strasbourg
# Jérôme Lang, LAMSADE CNRS, Université Paris-Dauphine
# Annick Laruelle, UPV-EHU, Universidad del País Vasco
# Jean-François Laslier, CNRS, Paris School of Economics
# Isabelle Lebon, CREM, Universités Caen-Normandie et Rennes 1
# Vincent Merlin, CNRS, CREM, Universités Caen-Normandie et Rennes 1
#
################################################################################
#
# Dataset: Online experiment Borda 4.
# Format: CSV with header
#
# Participants were asked to rank exactly 4 candidates. Meaning of the scores:
# 11 = first / 10 = second / 9 = third / 8 = fourth / nothing = not ranked
#
# * Column 1: Voter number
# * Column 2: score of Nathalie Arthaud
# * Column 3: score of François Asselineau
# * Column 4: score of Jacques Cheminade
# * Column 5: score of Nicolas Dupont-Aignan
# * Column 6: score of François Fillon
# * Column 7: score of Benoît Hamon
# * Column 8: score of Jean Lassalle
# * Column 9: score of Marine Le Pen
# * Column 10: score of Emmanuel Macron
# * Column 11: score of Jean-Luc Mélenchon
# * Column 12: score of Philippe Poutou
# * Column 13: vote at the first round of the official election (extracted from the questionnaire)
#
################################################################################
Voter,Nathalie Arthaud,François Asselineau,Jacques Cheminade,Nicolas Dupont-Aignan,François Fillon,Benoît Hamon,Jean Lassalle,Marine Le Pen,Emmanuel Macron,Jean-Luc Mélenchon,Philippe Poutou,official vote
Voter 29484,,,,,10,9,,,11,8,,Emmanuel Macron
Voter 27790,,9,,,,10,,,11,,8,Emmanuel Macron
Voter 28871,,,,,,11,,,10,9,8,Benoît Hamon
Voter 28449,8,,,,,9,,,11,10,,Emmanuel Macron
Voter 28037,,8,,9,11,,,10,,,,François Fillon
Voter 28903,,,,,11,8,10,,9,,,François Fillon
Voter 28572,9,8,,,,10,,,,11,,Jean-Luc Mélenchon
Voter 27774,,,,9,8,10,,,11,,,Emmanuel Macron
Voter 29478,,,,,,11,,,8,10,9,Benoît Hamon
Voter 29157,9,,,,,11,,,,10,8,Benoît Hamon
Voter 28498,,,,,11,,,8,10,,9,François Fillon
Voter 28312,,,,,8,9,,,11,10,,Emmanuel Macron
Voter 35065,8,,,,,10,,,,11,9,Jean-Luc Mélenchon
Voter 29472,,,8,9,,,,,11,10,,Emmanuel Macron
Voter 27742,,,,8,,9,,,11,10,,Emmanuel Macron
Voter 29488,,8,,9,11,,,,10,,,François Fillon
Voter 27592,8,,,,,10,,,,11,9,Jean-Luc Mélenchon
Voter 28384,,9,8,,11,,,,10,,,François Fillon
Voter 27880,,,,,11,,8,9,10,,,François Fillon
Voter 28660,9,,,,,,8,,,11,10,Jean-Luc Mélenchon
Voter 37626,,,11,,,9,10,,,8,,
Voter 35003,,,8,,9,11,,,10,,,Benoît Hamon
Voter 29476,,,,,,10,,,11,9,8,Emmanuel Macron
Voter 28952,,,9,,,11,,,,10,8,Benoît Hamon
Voter 27917,,,8,,,11,,,,10,9,Jean-Luc Mélenchon
Voter 29485,8,,,,,10,,,,11,9,Jean-Luc Mélenchon
Voter 28725,,,,,,10,,,9,11,8,incertitude
Voter 2644,,,,,8,9,,,11,10,,Emmanuel Macron
Voter 17285,,11,8,,,10,,,,,9,non inscrit
Voter 12349,,,,,,9,,,8,10,11,Jean-Luc Mélenchon
Voter 27773,,,,,10,9,,,11,8,,abstention
Voter 14992,,,,,9,10,8,,11,,,Emmanuel Macron
Voter 11520,9,,,,,11,,,,8,10,Benoît Hamon
Voter 7516,,,,,,8,,,9,11,10,Jean-Luc Mélenchon
Voter 22768,,,,,8,11,,,9,10,,incertitude
Voter 30786,9,,,,,11,,,10,,8,Benoît Hamon
