################################################################################
# Voter Autrement 2017
################################################################################
#
# This dataset Voter Autrement is made available under the Open Database
# License: http://opendatacommons.org/licenses/odbl/1.0/. Any rights in
# individual contents of the database are licensed under the Database
# Contents License: http://opendatacommons.org/licenses/dbcl/1.0/
#
# Antoinette Baujard, GATE Lyon Saint-Étienne, Université Jean Monnet, Saint-Étienne
# Renaud Blanch, LIG, Univ. Grenoble-Alpes
# Sylvain Bouveret, LIG, Univ. Grenoble-Alpes
# François Durand, LAMSADE, Université Paris-Dauphine
# Herrade Igersheim, CNRS, BETA, Université de Strasbourg
# Jérôme Lang, LAMSADE CNRS, Université Paris-Dauphine
# Annick Laruelle, UPV-EHU, Universidad del País Vasco
# Jean-François Laslier, CNRS, Paris School of Economics
# Isabelle Lebon, CREM, Universités Caen-Normandie et Rennes 1
# Vincent Merlin, CNRS, CREM, Universités Caen-Normandie et Rennes 1
#
################################################################################
#
# Dataset: Online experiment Evaluation Voting -1/0/1.
# Format: CSV with header
#
# Participants were asked to give a score to each candidate, on the scale (-1,0,1).
# If the score is empty, it means that the voter did not evaluate the candidate (means
# the least score).
#
# * Column 1: Voter number
# * Column 2: score of Nathalie Arthaud
# * Column 3: score of François Asselineau
# * Column 4: score of Jacques Cheminade
# * Column 5: score of Nicolas Dupont-Aignan
# * Column 6: score of François Fillon
# * Column 7: score of Benoît Hamon
# * Column 8: score of Jean Lassalle
# * Column 9: score of Marine Le Pen
# * Column 10: score of Emmanuel Macron
# * Column 11: score of Jean-Luc Mélenchon
# * Column 12: score of Philippe Poutou
# * Column 13: vote at the first round of the official election (extracted from the questionnaire)
#
################################################################################
Voter,Nathalie Arthaud,François Asselineau,Jacques Cheminade,Nicolas Dupont-Aignan,François Fillon,Benoît Hamon,Jean Lassalle,Marine Le Pen,Emmanuel Macron,Jean-Luc Mélenchon,Philippe Poutou,official vote
Voter 27790,,0,0,-1,-1,1,-1,-1,1,0,0,Emmanuel Macron
Voter 35854,,,,,,,,,,1,1,Jean-Luc Mélenchon
Voter 29174,-1,0,0,0,1,-1,0,0,1,-1,-1,François Fillon
Voter 28415,0,-1,-1,0,0,1,0,-1,1,0,1,Emmanuel Macron
Voter 29489,0,-1,-1,-1,0,1,0,-1,1,1,0,Benoît Hamon
Voter 29474,-1,-1,0,-1,-1,1,1,-1,0,1,1,Emmanuel Macron
Voter 29490,0,-1,-1,-1,-1,1,0,-1,-1,1,1,Jean-Luc Mélenchon
Voter 29487,-1,-1,-1,-1,-1,1,-1,-1,1,-1,-1,Emmanuel Macron
Voter 28572,0,0,0,0,-1,1,-1,0,0,1,0,Jean-Luc Mélenchon
Voter 27954,-1,-1,-1,-1,0,0,-1,-1,1,-1,-1,Emmanuel Macron
Voter 27727,-1,-1,-1,-1,0,1,-1,-1,1,1,-1,Emmanuel Macron
Voter 27774,-1,-1,-1,0,-1,1,-1,-1,1,0,-1,Emmanuel Macron
Voter 29479,0,0,0,0,-1,0,0,-1,1,0,0,Emmanuel Macron
Voter 29157,,,,,,1,,,,1,,Benoît Hamon
Voter 28629,0,0,0,0,-1,1,1,-1,0,1,1,Jean-Luc Mélenchon
Voter 32783,0,-1,-1,,-1,0,-1,-1,1,0,-1,Emmanuel Macron
Voter 29481,0,-1,-1,-1,-1,1,-1,-1,0,0,0,Benoît Hamon
Voter 28079,1,,,,,1,,,,1,1,Jean-Luc Mélenchon
Voter 31329,-1,-1,-1,0,1,0,-1,-1,1,-1,-1,Emmanuel Macron
Voter 35065,0,-1,-1,-1,-1,1,-1,-1,0,1,0,Jean-Luc Mélenchon
Voter 29472,-1,1,1,1,-1,0,1,-1,1,0,-1,Emmanuel Macron
Voter 27742,-1,-1,-1,-1,-1,0,-1,-1,1,0,-1,Emmanuel Macron
Voter 28864,0,,,,,1,0,,0,0,0,Benoît Hamon
Voter 28532,-1,0,0,1,1,0,0,0,-1,-1,-1,François Fillon
Voter 28065,-1,-1,-1,-1,-1,0,-1,-1,-1,1,-1,Jean-Luc Mélenchon
Voter 29395,0,-1,1,-1,-1,1,-1,-1,0,1,1,Jean-Luc Mélenchon
Voter 27592,0,0,-1,-1,-1,1,-1,-1,-1,1,1,Jean-Luc Mélenchon
Voter 27586,-1,-1,-1,-1,-1,1,-1,-1,1,0,0,Emmanuel Macron
Voter 27880,-1,-1,-1,0,1,-1,1,1,1,-1,-1,François Fillon
Voter 32043,0,-1,-1,-1,-1,0,-1,-1,-1,1,1,Jean-Luc Mélenchon
Voter 27731,0,0,0,1,-1,1,0,-1,-1,1,0,Jean-Luc Mélenchon
Voter 28660,1,-1,-1,-1,-1,-1,1,-1,-1,1,1,Jean-Luc Mélenchon
Voter 28293,0,-1,-1,-1,-1,1,-1,-1,1,1,0,Emmanuel Macron
Voter 29482,0,-1,-1,-1,-1,1,0,-1,-1,1,1,Jean-Luc Mélenchon
Voter 28110,-1,-1,-1,-1,-1,1,-1,-1,1,0,-1,Emmanuel Macron
