################################################################################
# Voter Autrement 2017
################################################################################
#
# This dataset Voter Autrement is made available under the Open Database
# License: http://opendatacommons.org/licenses/odbl/1.0/. Any rights in
# individual contents of the database are licensed under the Database
# Contents License: http://opendatacommons.org/licenses/dbcl/1.0/
#
# Antoinette Baujard, GATE Lyon Saint-Étienne, Université Jean Monnet, Saint-Étienne
# Renaud Blanch, LIG, Univ. Grenoble-Alpes
# Sylvain Bouveret, LIG, Univ. Grenoble-Alpes
# François Durand, LAMSADE, Université Paris-Dauphine
# Herrade Igersheim, CNRS, BETA, Université de Strasbourg
# Jérôme Lang, LAMSADE CNRS, Université Paris-Dauphine
# Annick Laruelle, UPV-EHU, Universidad del País Vasco
# Jean-François Laslier, CNRS, Paris School of Economics
# Isabelle Lebon, CREM, Universités Caen-Normandie et Rennes 1
# Vincent Merlin, CNRS, CREM, Universités Caen-Normandie et Rennes 1
#
################################################################################
#
# Dataset: Online experiment Evaluation Voting -1/0/1/2.
# Format: CSV with header
#
# Participants were asked to give a score to each candidate, on the scale (-1,0,1,2).
# If the score is empty, it means that the voter did not evaluate the candidate (means
# the least score).
#
# * Column 1: Voter number
# * Column 2: score of Nathalie Arthaud
# * Column 3: score of François Asselineau
# * Column 4: score of Jacques Cheminade
# * Column 5: score of Nicolas Dupont-Aignan
# * Column 6: score of François Fillon
# * Column 7: score of Benoît Hamon
# * Column 8: score of Jean Lassalle
# * Column 9: score of Marine Le Pen
# * Column 10: score of Emmanuel Macron
# * Column 11: score of Jean-Luc Mélenchon
# * Column 12: score of Philippe Poutou
# * Column 13: vote at the first round of the official election (extracted from the questionnaire)
#
################################################################################
Voter,Nathalie Arthaud,François Asselineau,Jacques Cheminade,Nicolas Dupont-Aignan,François Fillon,Benoît Hamon,Jean Lassalle,Marine Le Pen,Emmanuel Macron,Jean-Luc Mélenchon,Philippe Poutou,official vote
Voter 28903,-1,-1,-1,-1,1,0,0,-1,1,-1,-1,François Fillon
Voter 28712,,,,,1,,,2,,1,,Marine Le Pen
Voter 28912,-1,-1,-1,-1,0,1,0,-1,2,-1,-1,Emmanuel Macron
Voter 28423,0,0,0,0,-1,1,0,-1,0,1,0,Jean-Luc Mélenchon
Voter 31041,1,-1,-1,-1,-1,1,-1,-1,0,2,1,Jean-Luc Mélenchon
Voter 28719,-1,-1,-1,-1,2,-1,-1,-1,1,-1,-1,François Fillon
Voter 27632,0,-1,-1,-1,-1,1,-1,-1,2,0,0,Emmanuel Macron
Voter 29488,-1,0,0,0,2,-1,-1,-1,1,-1,-1,François Fillon
Voter 34457,0,0,0,0,2,0,0,-1,1,0,0,François Fillon
Voter 28571,-1,0,1,0,0,0,-1,-1,2,1,-1,blanc
Voter 29471,0,-1,-1,-1,-1,1,1,-1,-1,2,2,Jean-Luc Mélenchon
Voter 27822,-1,-1,-1,0,-1,0,0,-1,1,-1,-1,Emmanuel Macron
Voter 29358,1,2,,-1,-1,1,2,-1,0,2,2,Jean-Luc Mélenchon
Voter 33162,0,-1,-1,-1,-1,1,0,-1,2,0,0,Emmanuel Macron
Voter 35003,1,-1,1,0,0,2,2,-1,1,1,,Benoît Hamon
Voter 29049,0,-1,0,-1,-1,2,0,-1,2,2,1,Benoît Hamon
Voter 29050,-1,0,-1,1,2,-1,-1,-1,0,-1,-1,François Fillon
Voter 29477,0,-1,-1,-1,-1,2,-1,-1,0,-1,0,Jean Lassalle
Voter 27773,,,,,,,,,2,,,abstention
Voter 15777,1,-1,-1,-1,-1,2,-1,-1,1,1,1,Benoît Hamon
Voter 14992,0,0,0,0,0,1,0,-1,2,-1,-1,Emmanuel Macron
Voter 11520,0,-1,-1,-1,-1,2,-1,-1,-1,0,1,Benoît Hamon
