################################################################################
# Voter Autrement 2017
################################################################################
#
# This dataset Voter Autrement is made available under the Open Database
# License: http://opendatacommons.org/licenses/odbl/1.0/. Any rights in
# individual contents of the database are licensed under the Database
# Contents License: http://opendatacommons.org/licenses/dbcl/1.0/
#
# Antoinette Baujard, GATE Lyon Saint-Étienne, Université Jean Monnet, Saint-Étienne
# Renaud Blanch, LIG, Univ. Grenoble-Alpes
# Sylvain Bouveret, LIG, Univ. Grenoble-Alpes
# François Durand, LAMSADE, Université Paris-Dauphine
# Herrade Igersheim, CNRS, BETA, Université de Strasbourg
# Jérôme Lang, LAMSADE CNRS, Université Paris-Dauphine
# Annick Laruelle, UPV-EHU, Universidad del País Vasco
# Jean-François Laslier, CNRS, Paris School of Economics
# Isabelle Lebon, CREM, Universités Caen-Normandie et Rennes 1
# Vincent Merlin, CNRS, CREM, Universités Caen-Normandie et Rennes 1
#
################################################################################
#
# Dataset: Online experiment Evaluation Voting 0/1/2.
# Format: CSV with header
#
# Participants were asked to give a score to each candidate, on the scale (0,1,2).
# If the score is empty, it means that the voter did not evaluate the candidate (means
# the least score).
#
# * Column 1: Voter number
# * Column 2: score of Nathalie Arthaud
# * Column 3: score of François Asselineau
# * Column 4: score of Jacques Cheminade
# * Column 5: score of Nicolas Dupont-Aignan
# * Column 6: score of François Fillon
# * Column 7: score of Benoît Hamon
# * Column 8: score of Jean Lassalle
# * Column 9: score of Marine Le Pen
# * Column 10: score of Emmanuel Macron
# * Column 11: score of Jean-Luc Mélenchon
# * Column 12: score of Philippe Poutou
# * Column 13: vote at the first round of the official election (extracted from the questionnaire)
#
################################################################################
Voter,Nathalie Arthaud,François Asselineau,Jacques Cheminade,Nicolas Dupont-Aignan,François Fillon,Benoît Hamon,Jean Lassalle,Marine Le Pen,Emmanuel Macron,Jean-Luc Mélenchon,Philippe Poutou,official vote
Voter 35854,,,,,,,,,,2,2,Jean-Luc Mélenchon
Voter 28415,0,0,0,0,0,2,0,0,2,1,1,Emmanuel Macron
Voter 29474,0,0,1,0,0,2,2,0,1,2,1,Emmanuel Macron
Voter 29490,0,0,0,0,0,2,0,0,0,2,1,Jean-Luc Mélenchon
Voter 28572,1,1,0,1,0,2,0,0,0,2,1,Jean-Luc Mélenchon
Voter 27954,0,0,0,0,1,1,0,0,2,0,0,Emmanuel Macron
Voter 27727,,,,,1,1,,,2,1,,Emmanuel Macron
Voter 29479,0,0,0,0,1,1,1,0,2,1,0,Emmanuel Macron
Voter 29481,1,0,0,0,0,2,1,0,1,2,1,Benoît Hamon
Voter 31329,0,0,0,1,1,1,1,0,2,0,0,Emmanuel Macron
Voter 29472,0,1,1,1,0,0,1,0,2,1,0,Emmanuel Macron
Voter 27742,,,,,,,,,2,1,,Emmanuel Macron
Voter 28864,0,0,0,0,0,2,1,0,1,1,1,Benoît Hamon
Voter 28532,0,1,,1,2,0,1,1,0,0,0,François Fillon
Voter 29395,1,0,1,0,0,2,0,0,0,2,1,Jean-Luc Mélenchon
Voter 27592,1,1,0,1,0,2,0,0,0,2,1,Jean-Luc Mélenchon
Voter 27586,0,0,0,0,0,2,0,0,2,1,0,Emmanuel Macron
Voter 32043,1,,,,,1,,,,2,2,Jean-Luc Mélenchon
Voter 27731,0,1,1,1,0,2,0,0,0,2,0,Jean-Luc Mélenchon
Voter 29482,1,0,0,0,0,1,0,0,0,2,1,Jean-Luc Mélenchon
Voter 28110,0,0,0,0,0,2,0,0,2,1,0,Emmanuel Macron
Voter 37626,0,,2,,,1,1,,,1,1,
Voter 27917,0,0,1,0,0,2,1,0,0,2,1,Jean-Luc Mélenchon
Voter 21698,0,0,0,0,0,2,0,0,1,2,1,incertitude
Voter 30786,1,0,0,0,0,2,0,0,1,0,1,Benoît Hamon
Voter 26584,2,,1,,,,,,,2,1,abstention
Voter 31871,1,0,2,0,0,2,2,0,1,2,2,Jean-Luc Mélenchon
Voter 20374,1,0,0,0,0,1,1,0,0,2,1,Jean-Luc Mélenchon
Voter 2991,,,,,,1,,,2,2,,Emmanuel Macron
Voter 22673,1,1,0,0,0,1,1,0,0,2,1,Jean-Luc Mélenchon
Voter 30138,1,2,0,1,0,1,2,0,0,2,1,Jean-Luc Mélenchon
Voter 23432,1,0,1,0,0,1,0,0,2,2,1,Emmanuel Macron
Voter 17568,0,0,0,0,0,1,0,0,1,2,1,Jean-Luc Mélenchon
Voter 8844,0,0,2,0,0,2,0,0,1,2,1,Jean-Luc Mélenchon
Voter 2015,,1,,2,2,,,2,,1,,Marine Le Pen
Voter 35692,2,0,0,0,0,2,1,0,1,2,2,Jean-Luc Mélenchon
Voter 7054,0,0,0,0,0,2,0,0,1,2,1,ne se prononce pas
Voter 9672,0,0,0,0,0,1,0,0,1,0,0,Benoît Hamon
Voter 18258,0,2,1,1,2,1,1,0,2,1,0,abstention
Voter 11314,,,2,,,1,,,,,2,Jacques Cheminade
Voter 4338,0,0,0,1,0,0,2,0,2,1,0,Emmanuel Macron
Voter 15550,1,0,0,0,0,1,1,0,0,2,1,Jean-Luc Mélenchon
Voter 29816,1,0,,0,0,2,0,0,0,2,2,Jean-Luc Mélenchon
Voter 20203,0,0,0,0,0,2,0,0,2,0,0,Emmanuel Macron
Voter 18642,1,1,0,0,0,2,0,0,1,2,1,Jean-Luc Mélenchon
Voter 2603,1,2,0,1,0,1,1,0,0,2,1,Jean-Luc Mélenchon
Voter 30112,0,0,0,1,0,2,1,0,1,2,0,Benoît Hamon
Voter 5056,1,0,0,0,0,0,0,0,0,2,1,Jean-Luc Mélenchon
Voter 115,0,0,0,0,0,0,0,0,0,0,0,
Voter 634,1,,,,,,,,,2,1,Jean-Luc Mélenchon
Voter 28897,1,0,1,0,0,2,1,0,1,2,1,Benoît Hamon
Voter 1552,0,0,0,0,1,1,0,0,2,1,0,Emmanuel Macron
Voter 10027,1,0,0,0,0,2,0,0,1,2,1,Jean-Luc Mélenchon
Voter 22151,0,0,0,0,2,0,0,0,2,0,0,François Fillon
Voter 24534,,,,,,1,,,,2,,Jean-Luc Mélenchon
Voter 19191,1,0,0,0,0,2,1,0,0,2,2,Jean-Luc Mélenchon
Voter 7337,,,,,,,,2,2,1,,Marine Le Pen
Voter 8660,1,0,1,0,1,2,0,0,2,1,0,Emmanuel Macron
Voter 1380,0,0,0,0,0,1,0,0,2,0,0,Emmanuel Macron
Voter 21132,,,,,1,,,,2,,,Emmanuel Macron
Voter 7265,0,0,0,0,1,1,1,0,2,1,0,Emmanuel Macron
Voter 10602,1,0,0,0,0,2,0,0,1,1,1,Benoît Hamon
Voter 788,1,0,1,0,0,2,1,0,2,1,1,Emmanuel Macron
Voter 5831,1,0,0,0,0,0,0,0,0,2,1,Jean-Luc Mélenchon
Voter 14988,,,,,2,,,,1,,,François Fillon
Voter 12846,0,0,0,0,0,1,1,0,2,2,0,Emmanuel Macron
Voter 12914,0,0,0,0,0,1,0,0,2,2,0,Emmanuel Macron
Voter 11993,,,,,0,2,0,0,,1,1,Benoît Hamon
Voter 12035,1,0,0,0,0,2,0,0,0,2,1,Jean-Luc Mélenchon
Voter 10172,1,0,0,0,0,1,0,0,2,2,1,Emmanuel Macron
Voter 14193,,,,,2,,,,,,,François Fillon
Voter 5456,1,0,1,0,1,2,1,0,1,1,1,Benoît Hamon
Voter 14626,1,2,1,0,0,1,0,0,0,2,0,Jean-Luc Mélenchon
Voter 1616,1,0,0,0,0,2,0,0,1,1,0,Benoît Hamon
Voter 12897,0,0,0,0,0,1,0,0,1,2,0,Jean-Luc Mélenchon
Voter 25377,2,,,,,2,1,,,1,2,Benoît Hamon
Voter 7303,0,0,0,0,0,2,0,0,2,1,0,Benoît Hamon
Voter 2575,,,,,,1,,,,2,,Jean-Luc Mélenchon
Voter 27550,1,0,0,0,0,2,0,0,2,1,0,Emmanuel Macron
Voter 425,1,0,0,0,0,2,0,0,0,2,0,
Voter 4739,0,0,0,1,1,0,0,1,1,1,0,incertitude
Voter 9041,1,0,0,0,0,1,1,0,0,2,1,Jean-Luc Mélenchon
Voter 13139,0,0,0,0,0,2,1,1,0,2,1,Jean-Luc Mélenchon
Voter 1033,1,0,0,0,0,1,0,0,0,2,2,Jean-Luc Mélenchon
Voter 10610,1,0,0,0,0,2,0,0,0,2,1,Benoît Hamon
Voter 13835,0,0,0,0,2,1,0,0,1,0,0,François Fillon
Voter 21373,0,0,0,0,1,0,0,0,2,0,0,Emmanuel Macron
Voter 15651,1,0,0,0,0,2,0,0,2,1,1,Benoît Hamon
Voter 5165,1,1,1,1,1,1,0,0,2,1,0,Emmanuel Macron
Voter 10900,0,1,0,1,0,0,1,0,2,1,2,Emmanuel Macron
Voter 30456,,,,,2,,2,1,,,,François Fillon
Voter 25213,0,0,0,0,0,1,0,1,2,0,0,Emmanuel Macron
Voter 10348,,,1,,,2,,,,1,1,Benoît Hamon
Voter 19907,1,1,0,0,0,0,0,0,0,2,2,Jean-Luc Mélenchon
Voter 23197,0,0,0,0,0,1,0,0,2,1,0,Emmanuel Macron
Voter 30996,0,0,0,0,0,1,0,0,0,2,0,Jean-Luc Mélenchon
Voter 13557,0,1,0,0,0,0,0,0,2,1,0,Emmanuel Macron
Voter 17291,0,0,0,0,1,1,0,0,2,0,0,Emmanuel Macron
Voter 5573,1,,,,,2,,,,2,1,Jean-Luc Mélenchon
Voter 1597,1,0,0,0,0,1,1,0,0,2,1,Jean-Luc Mélenchon
Voter 15450,,,,0,0,2,,0,1,1,1,incertitude
Voter 20330,1,0,2,1,0,2,2,0,0,2,1,Jean-Luc Mélenchon
Voter 8593,0,0,0,0,1,0,0,0,2,0,0,Emmanuel Macron
Voter 8339,0,0,0,1,1,1,1,0,2,1,0,Emmanuel Macron
Voter 9107,1,1,0,0,,2,1,0,1,2,1,Benoît Hamon
Voter 12598,1,0,0,0,0,1,1,0,1,1,2,Philippe Poutou
Voter 1311,1,0,0,0,0,2,0,0,1,1,0,Benoît Hamon
