################################################################################
# Voter Autrement 2017
################################################################################
#
# This dataset Voter Autrement is made available under the Open Database
# License: http://opendatacommons.org/licenses/odbl/1.0/. Any rights in
# individual contents of the database are licensed under the Database
# Contents License: http://opendatacommons.org/licenses/dbcl/1.0/
#
# Antoinette Baujard, GATE Lyon Saint-Étienne, Université Jean Monnet, Saint-Étienne
# Renaud Blanch, LIG, Univ. Grenoble-Alpes
# Sylvain Bouveret, LIG, Univ. Grenoble-Alpes
# François Durand, LAMSADE, Université Paris-Dauphine
# Herrade Igersheim, CNRS, BETA, Université de Strasbourg
# Jérôme Lang, LAMSADE CNRS, Université Paris-Dauphine
# Annick Laruelle, UPV-EHU, Universidad del País Vasco
# Jean-François Laslier, CNRS, Paris School of Economics
# Isabelle Lebon, CREM, Universités Caen-Normandie et Rennes 1
# Vincent Merlin, CNRS, CREM, Universités Caen-Normandie et Rennes 1
#
################################################################################
#
# Dataset: Online experiment Evaluation Voting 0/1/2/3.
# Format: CSV with header
#
# Participants were asked to give a score to each candidate, on the scale (0,1,2,3).
# If the score is empty, it means that the voter did not evaluate the candidate (means
# the least score).
#
# * Column 1: Voter number
# * Column 2: score of Nathalie Arthaud
# * Column 3: score of François Asselineau
# * Column 4: score of Jacques Cheminade
# * Column 5: score of Nicolas Dupont-Aignan
# * Column 6: score of François Fillon
# * Column 7: score of Benoît Hamon
# * Column 8: score of Jean Lassalle
# * Column 9: score of Marine Le Pen
# * Column 10: score of Emmanuel Macron
# * Column 11: score of Jean-Luc Mélenchon
# * Column 12: score of Philippe Poutou
# * Column 13: vote at the first round of the official election (extracted from the questionnaire)
#
################################################################################
Voter,Nathalie Arthaud,François Asselineau,Jacques Cheminade,Nicolas Dupont-Aignan,François Fillon,Benoît Hamon,Jean Lassalle,Marine Le Pen,Emmanuel Macron,Jean-Luc Mélenchon,Philippe Poutou,official vote
Voter 29484,0,0,0,0,1,2,0,0,3,1,0,Emmanuel Macron
Voter 28871,1,0,0,0,0,3,1,0,2,2,1,Benoît Hamon
Voter 29483,,0,1,0,0,1,,0,3,1,1,Emmanuel Macron
Voter 28449,1,0,1,1,1,2,0,0,3,3,1,Emmanuel Macron
Voter 28037,0,1,0,1,3,0,0,2,0,0,0,François Fillon
Voter 29478,0,0,0,0,0,2,0,0,1,2,1,Benoît Hamon
Voter 29473,1,0,0,0,1,3,1,0,2,1,1,Benoît Hamon
Voter 28498,,,,,3,,,,1,,,François Fillon
Voter 28312,0,0,0,1,1,2,0,0,3,1,0,Emmanuel Macron
Voter 31041,2,0,0,0,0,2,0,0,1,3,2,Jean-Luc Mélenchon
Voter 28719,0,0,0,0,3,0,0,0,1,0,0,François Fillon
Voter 27632,1,0,0,0,0,2,0,0,3,1,1,Emmanuel Macron
Voter 27951,,,,3,0,1,1,0,2,2,1,Nicolas Dupont-Aignan
Voter 28384,0,0,1,0,3,1,0,0,3,0,0,François Fillon
Voter 29107,2,1,1,1,0,3,2,0,1,3,3,Jean-Luc Mélenchon
Voter 29486,1,,,,,2,,,1,3,2,Jean-Luc Mélenchon
Voter 28846,1,0,1,1,0,2,1,0,3,3,1,Emmanuel Macron
Voter 29480,1,0,0,0,0,3,1,0,0,1,0,Benoît Hamon
Voter 27895,2,,,,,3,,,1,2,2,Jean-Luc Mélenchon
Voter 29358,2,3,0,0,0,2,3,0,1,3,2,Jean-Luc Mélenchon
Voter 33162,,,,,,1,,,2,,,Emmanuel Macron
Voter 31142,,,,,,3,1,,,2,1,Benoît Hamon
Voter 35003,1,0,1,1,1,3,1,0,2,1,1,Benoît Hamon
Voter 28385,0,0,0,0,0,3,3,0,1,1,0,Benoît Hamon
Voter 34810,1,0,0,0,0,3,1,0,0,3,2,Jean-Luc Mélenchon
Voter 29049,1,0,1,0,0,3,0,0,2,2,2,Benoît Hamon
Voter 29050,0,1,0,1,2,0,0,0,1,0,0,François Fillon
Voter 29477,1,0,0,0,0,3,0,0,0,0,1,Jean Lassalle
Voter 28305,0,0,0,0,2,1,0,1,2,1,0,Emmanuel Macron
Voter 28725,1,0,1,0,0,2,1,0,2,3,2,incertitude
Voter 17285,1,3,2,0,0,3,2,0,0,2,2,non inscrit
Voter 12349,0,0,0,0,0,1,0,0,1,3,1,Jean-Luc Mélenchon
Voter 15777,1,0,0,0,0,3,0,0,2,2,2,Benoît Hamon
Voter 14992,0,0,0,0,1,2,1,0,3,0,0,Emmanuel Macron
Voter 11520,0,0,0,0,0,3,0,0,0,0,1,Benoît Hamon
Voter 7516,0,1,0,0,0,1,0,0,1,3,2,Jean-Luc Mélenchon
Voter 18529,0,0,0,0,0,3,0,0,1,1,1,Benoît Hamon
Voter 26877,2,0,1,0,0,3,1,0,1,3,2,Jean-Luc Mélenchon
Voter 8972,,,,,,,1,,3,,,Emmanuel Macron
Voter 7449,1,0,0,0,0,3,0,0,2,1,1,Benoît Hamon
Voter 15636,0,0,0,0,1,2,0,0,3,1,0,Emmanuel Macron
Voter 23214,0,0,0,0,0,3,0,0,1,1,0,Benoît Hamon
Voter 14005,,,,0,0,2,,0,3,2,,Emmanuel Macron
Voter 2588,1,0,0,0,0,3,1,0,2,1,1,Benoît Hamon
Voter 27205,0,0,0,0,0,0,0,0,3,0,0,Emmanuel Macron
Voter 28126,,,,,,1,,,3,,1,Emmanuel Macron
Voter 9099,2,0,0,0,0,3,0,0,1,3,2,Jean-Luc Mélenchon
