################################################################################
# Voter Autrement 2017
################################################################################
#
# This dataset Voter Autrement is made available under the Open Database
# License: http://opendatacommons.org/licenses/odbl/1.0/. Any rights in
# individual contents of the database are licensed under the Database
# Contents License: http://opendatacommons.org/licenses/dbcl/1.0/
#
# Antoinette Baujard, GATE Lyon Saint-Étienne, Université Jean Monnet, Saint-Étienne
# Renaud Blanch, LIG, Univ. Grenoble-Alpes
# Sylvain Bouveret, LIG, Univ. Grenoble-Alpes
# François Durand, LAMSADE, Université Paris-Dauphine
# Herrade Igersheim, CNRS, BETA, Université de Strasbourg
# Jérôme Lang, LAMSADE CNRS, Université Paris-Dauphine
# Annick Laruelle, UPV-EHU, Universidad del País Vasco
# Jean-François Laslier, CNRS, Paris School of Economics
# Isabelle Lebon, CREM, Universités Caen-Normandie et Rennes 1
# Vincent Merlin, CNRS, CREM, Universités Caen-Normandie et Rennes 1
#
################################################################################
#
# Dataset: Online experiment Post first-round Questionnaire
# Format: CSV with header
#
# The questionnaire filled-in by the participants at the end of the experiment (version
# proposed to the participants after the first round of the official election)
# For most questions, the participants were free not to answer at all (empty value)
# or explicitly they do not want to answer (value "nspp").
#
# * Column 1: Voter number
# * Colums 2-12: Appreciation of voting methods (-2, -1, 0, 1, 2) (NP) means that the
#   voter did not test this method. No value means that the voter did not answer.
#   - Column 2: Approval
#   - Column 3: Evaluation 0/1/2
#   - Column 4: Evaluation 0/1/2/3
#   - Column 5: Evaluation -1/0/1/2
#   - Column 6: Evaluation -1/0/1
#   - Column 7: Borda 4
#   - Column 8: STV 4-11
#   - Column 9: STV 1-11
#   - Column 10: Evaluation Continuous
#   - Column 11: Condorcet
#   - Column 12: two round majority
# * Column 13: what did you do at the first round of the official election?
#   (vote for candidate X / blanc = blank / abstention = abstain / ni = I do not have the right to vote / nspp)
# * Column 14: did you vote sincerely? (t = yes / f = no)
# * Column 15: did you vote strategically? (t = yes / f = no)
# * Column 16: did you have another motivation? (free text)
# * Column 17: now that you know the results of the first round, do you think you did the right choice?
#   (-2 = not at all / -1 = rather not / 1 = rather yes / 2 = absolutely)
# * Column 18: if you could revote, what would you do? (vote for candidate X / blanc = blank /
#   abstention = abstain / ni = I do not have the right to vote / nspp)
# * Column 19: if you are noty satisfied, is it because you should have voted sincerely? (t = yes / f = no)
# * Column 20: if you are noty satisfied, is it because you should have voted strategically? (t = yes / f = no)
# * Column 21: if you are noty satisfied, is it for another reason? (free text)
# * Column 22: What do you plan to do for the second round of the official election?
#   (vote for candidate X / blanc = blank / abstention = abstain / ni = I do not have the right to vote / nspp)
# * Column 23: vote is a right (t = yes / f = no)
# * Column 24: vote is a duty (t = yes / f = no)
# * Column 25: vote is a chance (t = yes / f = no)
# * Column 26: vote is useful (t = yes / f = no)
# * Column 27: evaluate your position on a left / right axis (0 = left ... 10 = right)
# * Column 28: age group (18-29, 30-39, 40-49, 50-59, 60-69, 70)
# * Column 29: gender (h = male / f = female)
# * Column 30: level of education (primaire = basic / secondaire = intermediate / superieur = higher)
# * Column 31: socio-professional category (liberal = "profession libérale", approximately self-employed
#   independent profession / prive = employee in the private sector /
#   public = employee in the public sector / chomage = unemployed / etudiant = student / autre = other)
#
################################################################################
"Voter","Appreciation Approval","Appreciation Evaluation 0/1/2","Appreciation Evaluation 0/1/2/3","Appreciation Evaluation -1/0/1/2","Appreciation Evaluation -1/0/1","Appreciation Borda 4","Appreciation STV 4-11","Appreciation STV 1-11","Appreciation Evaluation Continuous","Appreciation Condorcet","Appreciation two round majority","official vote","I voted sincerely","I voted strategically","Other motivation","Regret evaluation","I should have voted...","I should have voted sincerely","I should have voted strategically","I should have voted otherwise","second round","vote is a right","vote is a duty","vote is a chance","vote is useful","left right","age","gender","studies","socioprofessional"
"Voter 29470","1","(NP)","1","(NP)","(NP)","-1","(NP)","(NP)","","","-1","Emmanuel Macron","t","f","","1","Emmanuel Macron","f","f","","Emmanuel Macron","t","f","t","t","4","18-29","h","superieur","prive"
"Voter 29471","0","(NP)","(NP)","2","(NP)","(NP)","(NP)","0","","","-2","Jean-Luc Mélenchon","t","f","","2","Jean-Luc Mélenchon","f","f","","abstention","t","t","f","f","0","60-69","h","superieur","retraite"
"Voter 29472","(NP)","1","(NP)","(NP)","1","0","(NP)","(NP)","","","-1","Emmanuel Macron","t","f","","1","Emmanuel Macron","f","f","","Emmanuel Macron","t","t","t","t","5","50-59","f","secondaire","public"
"Voter 29473","-1","(NP)","1","(NP)","(NP)","(NP)","1","(NP)","","","-2","Benoît Hamon","f","f","","1","Benoît Hamon","f","f","","Emmanuel Macron","t","t","t","t","2","30-39","h","superieur","public"
"Voter 29474","(NP)","2","(NP)","(NP)","1","(NP)","(NP)","2","","","-1","Emmanuel Macron","f","f","vote utile :(","-1","Benoît Hamon","f","f","","Emmanuel Macron","t","f","t","t","3","30-39","h","superieur","prive"
"Voter 29475","1","(NP)","(NP)","1","(NP)","(NP)","(NP)","","","","-1","Marine Le Pen","t","f","","-1","Benoît Hamon","f","f","Je ne suis pas satisfaite de mon vote ;  face à l'ampleur de l'emprise islamique radicale","ne se prononce pas","","","","t","4","60-69","f","superieur","public"
"Voter 29476","0","(NP)","(NP)","(NP)","0","0","(NP)","(NP)","","","1","Emmanuel Macron","f","t","","1","Emmanuel Macron","t","f","","Emmanuel Macron","t","t","t","t","3","30-39","f","superieur","public"
"Voter 29477","(NP)","(NP)","1","1","(NP)","(NP)","1","(NP)","","","0","Jean Lassalle","t","f","","2","Benoît Hamon","f","f","","Emmanuel Macron","t","t","t","t","2","30-39","f","superieur","liberal"
"Voter 29478","1","(NP)","0","(NP)","(NP)","2","(NP)","(NP)","","","-2","Benoît Hamon","t","f","","1","Benoît Hamon","f","f","","Emmanuel Macron","t","f","t","t","2","30-39","f","superieur","public"
"Voter 29479","(NP)","1","(NP)","(NP)","-1","(NP)","(NP)","1","","","-1","Emmanuel Macron","t","f","casier judiciaire vierge, pas de mise en examen en cours, libéral réformateur","1","Emmanuel Macron","f","f","","Emmanuel Macron","t","t","t","t","6","30-39","h","superieur","public"
"Voter 29480","1","(NP)","1","(NP)","(NP)","(NP)","1","(NP)","","","-1","Benoît Hamon","t","f","","2","Benoît Hamon","f","f","","Emmanuel Macron","t","t","t","t","0","18-29","h","superieur","etudiant"
"Voter 29481","(NP)","0","(NP)","(NP)","1","(NP)","2","(NP)","","","-1","Benoît Hamon","t","f","","1","Benoît Hamon","f","t","","Emmanuel Macron","t","t","t","t","2","18-29","h","superieur","prive"
"Voter 29482","(NP)","1","(NP)","(NP)","1","(NP)","1","(NP)","","","0","Jean-Luc Mélenchon","t","f","","2","Jean-Luc Mélenchon","f","f","","Emmanuel Macron","t","t","t","f","1","40-49","h","superieur","liberal"
"Voter 29483","1","(NP)","1","(NP)","(NP)","(NP)","(NP)","0","","","-1","Emmanuel Macron","f","t","","1","Emmanuel Macron","f","f","","Emmanuel Macron","t","f","t","t","5","30-39","h","superieur","prive"
"Voter 29484","1","(NP)","1","(NP)","(NP)","-1","(NP)","(NP)","","","1","Emmanuel Macron","t","f","","2","Emmanuel Macron","f","f","","Emmanuel Macron","t","t","t","t","2","60-69","h","superieur","retraite"
"Voter 29485","1","(NP)","(NP)","(NP)","","","(NP)","(NP)","","","-2","Jean-Luc Mélenchon","t","f","","2","Jean-Luc Mélenchon","f","f","","Emmanuel Macron","t","t","t","","2","+70","h","superieur","retraite"
"Voter 29486","1","(NP)","-1","(NP)","(NP)","(NP)","(NP)","2","","","-1","Jean-Luc Mélenchon","t","f","","2","Jean-Luc Mélenchon","f","f","","Emmanuel Macron","t","t","t","t","1","30-39","h","superieur","prive"
"Voter 29487","1","(NP)","(NP)","(NP)","1","(NP)","(NP)","1","","","1","Emmanuel Macron","f","t","","2","Emmanuel Macron","f","f","","Emmanuel Macron","t","t","t","t","5","30-39","f","superieur","liberal"
"Voter 29488","2","(NP)","(NP)","0","(NP)","1","(NP)","(NP)","","","-1","François Fillon","t","f","","2","François Fillon","f","f","","Emmanuel Macron","t","t","t","t","7","30-39","h","superieur","prive"
"Voter 29489","1","(NP)","(NP)","(NP)","0","(NP)","(NP)","2","","","-1","Benoît Hamon","t","f","","1","Benoît Hamon","f","t","","Emmanuel Macron","t","t","t","t","4","18-29","h","superieur","etudiant"
"Voter 29490","(NP)","","(NP)","(NP)","","(NP)","(NP)","","","","-1","Jean-Luc Mélenchon","f","t","","2","Jean-Luc Mélenchon","f","f","","","","t","","","2","60-69","h","secondaire","autre"
"Voter 29491","1","(NP)","(NP)","1","(NP)","-1","(NP)","(NP)","","","0","abstention","f","f","","","","f","f","","","t","f","f","f","3","30-39","f","superieur","autre"
"Voter 29492","(NP)","1","(NP)","(NP)","1","(NP)","0","(NP)","","","1","Jean-Luc Mélenchon","f","t","","-1","Benoît Hamon","t","f","","Emmanuel Macron","t","t","t","t","1","60-69","f","superieur","retraite"
"Voter 29493","(NP)","(NP)","0","2","(NP)","(NP)","(NP)","0","","","1","Emmanuel Macron","f","t","","1","Jean-Luc Mélenchon","f","f","","Emmanuel Macron","t","t","f","t","2","18-29","h","secondaire","prive"
"Voter 29494","1","(NP)","(NP)","(NP)","1","(NP)","0","(NP)","","","-1","Jean-Luc Mélenchon","t","t","","2","Jean-Luc Mélenchon","f","f","","Emmanuel Macron","t","t","t","f","2","18-29","h","superieur","etudiant"
"Voter 29495","0","(NP)","2","(NP)","(NP)","(NP)","2","(NP)","","","-1","Jean-Luc Mélenchon","f","t","","1","Benoît Hamon","f","f","","Emmanuel Macron","t","t","t","t","1","50-59","h","superieur","prive"
"Voter 29496","0","(NP)","(NP)","(NP)","1","2","(NP)","(NP)","","","-1","Emmanuel Macron","t","f","","2","Emmanuel Macron","f","f","","Emmanuel Macron","t","t","t","t","5","30-39","f","superieur","public"
"Voter 29497","1","(NP)","1","(NP)","(NP)","(NP)","(NP)","-2","","","1","Jean-Luc Mélenchon","t","f","","2","Jean-Luc Mélenchon","f","f","","Emmanuel Macron","t","t","t","t","3","18-29","h","superieur","public"
"Voter 29498","(NP)","1","(NP)","(NP)","1","(NP)","(NP)","1","","","-1","Jean-Luc Mélenchon","t","t","","2","Jean-Luc Mélenchon","f","f","","abstention","t","f","t","t","2","18-29","h","superieur","prive"
"Voter 29499","1","(NP)","(NP)","1","(NP)","2","(NP)","(NP)","","","-1","Jean-Luc Mélenchon","t","f","","2","Jean-Luc Mélenchon","f","f","","Emmanuel Macron","","t","t","","1","18-29","h","superieur","etudiant"
"Voter 29500","1","(NP)","(NP)","(NP)","-1","(NP)","0","(NP)","","","-1","Jean-Luc Mélenchon","t","f","","1","Jean-Luc Mélenchon","f","f","","blanc","t","t","t","f","3","18-29","h","superieur","prive"
"Voter 29501","(NP)","-1","(NP)","(NP)","-1","(NP)","-1","(NP)","","","-2","ne se prononce pas","t","f","","2","François Fillon","f","f","","abstention","t","t","t","f","8","18-29","f","superieur","prive"
"Voter 29502","(NP)","(NP)","0","1","(NP)","(NP)","(NP)","1","","","-2","Jean-Luc Mélenchon","f","t","","2","Jean-Luc Mélenchon","f","f","","blanc","t","t","t","t","2","30-39","h","superieur","public"
"Voter 29503","1","(NP)","(NP)","1","(NP)","2","(NP)","(NP)","","","-1","Emmanuel Macron","t","f","","2","Emmanuel Macron","f","f","","Emmanuel Macron","t","t","t","t","5","30-39","h","superieur","prive"
"Voter 29504","(NP)","(NP)","","","(NP)","(NP)","","(NP)","","","-2","non inscrit","f","f","","","Jean-Luc Mélenchon","f","f","","","t","t","t","t","2","18-29","h","superieur","etudiant"
"Voter 29505","1","(NP)","(NP)","1","(NP)","(NP)","(NP)","1","","","1","non inscrit","f","f","","","non inscrit","f","f","","non inscrit","t","t","t","t","3","40-49","h","superieur","public"
"Voter 29506","(NP)","(NP)","","","(NP)","","(NP)","(NP)","","","","Jean-Luc Mélenchon","t","f","","","","f","f","","blanc","","","","","5","30-39","h","superieur","prive"
"Voter 29507","","(NP)","(NP)","(NP)","","","(NP)","(NP)","","","","","f","f","","","","f","f","","","","","","","","","","",""
"Voter 29508","2","(NP)","(NP)","1","(NP)","(NP)","(NP)","2","","","-1","Emmanuel Macron","f","t","","2","Emmanuel Macron","f","f","","Emmanuel Macron","t","t","t","t","4","40-49","f","superieur","liberal"
"Voter 29509","2","(NP)","(NP)","(NP)","1","-1","(NP)","(NP)","","","-1","Emmanuel Macron","f","t","","-1","Benoît Hamon","t","f","","Emmanuel Macron","t","t","t","t","4","18-29","h","superieur","etudiant"
"Voter 29510","-2","(NP)","2","(NP)","(NP)","(NP)","-2","(NP)","","","0","Jean-Luc Mélenchon","f","t","","2","Jean-Luc Mélenchon","f","f","","blanc","t","t","t","f","0","30-39","f","superieur","public"
"Voter 29511","(NP)","2","(NP)","(NP)","1","(NP)","1","(NP)","","","-1","Jean-Luc Mélenchon","t","t","","2","Jean-Luc Mélenchon","f","f","","Emmanuel Macron","t","t","t","t","6","30-39","h","superieur","liberal"
"Voter 29512","0","(NP)","(NP)","2","(NP)","(NP)","0","(NP)","","","0","blanc","f","f","","2","blanc","f","f","","Emmanuel Macron","t","t","t","f","3","30-39","h","superieur","public"
"Voter 29513","0","(NP)","(NP)","0","(NP)","0","(NP)","(NP)","","","0","Jean-Luc Mélenchon","t","f","","2","Jean-Luc Mélenchon","f","f","","blanc","t","t","t","t","5","18-29","h","superieur","prive"
"Voter 29514","(NP)","0","(NP)","(NP)","0","(NP)","(NP)","1","","","1","Benoît Hamon","t","f","","1","Jean-Luc Mélenchon","f","t","","Emmanuel Macron","t","f","t","t","2","18-29","h","superieur","prive"
"Voter 29515","1","(NP)","(NP)","(NP)","2","0","(NP)","(NP)","","","-1","Jean-Luc Mélenchon","t","t","Je préfère les idées de Hamon (plus modéré), mais je ne le voyais pas président.","2","Jean-Luc Mélenchon","f","f","","blanc","f","t","t","t","2","18-29","h","superieur","etudiant"
"Voter 29516","(NP)","(NP)","1","1","(NP)","(NP)","1","(NP)","","","-2","Jean-Luc Mélenchon","t","f","","2","Jean-Luc Mélenchon","f","f","","abstention","t","t","t","t","1","30-39","f","superieur","public"
